,Vehicle Class,Coverage,Renew Offer Type,Employment Status,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value,Gender,Location Code,Policy Duration (Months)
3694,SUV,Basic,Offer1,Employed,Married,Bachelor,3,116.0,501.716934,73795.0,9185.025301,M,Urban,77
2259,SUV,Extended,Offer4,Employed,Married,High School or Below,3,131.0,350.097052,68563.0,10425.98532,F,Urban,44
3765,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,1,68.0,326.4,25544.0,2695.963857,F,Suburban,30
2364,Four-Door Car,Premium,Offer4,Employed,Single,Master,3,104.0,499.2,62588.0,8246.830811,M,Suburban,22
3530,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,4,68.0,326.4,43054.0,5418.463878,F,Suburban,41
897,SUV,Basic,Offer1,Employed,Married,Bachelor,1,112.0,103.022126,58082.0,4434.941371,F,Rural,66
5410,Sports Car,Basic,Offer1,Employed,Single,High School or Below,1,119.0,571.2,29875.0,4542.405346,M,Suburban,36
170,SUV,Extended,Offer3,Medical Leave,Married,College,3,124.0,892.8,15406.0,9546.81655,M,Suburban,40
3926,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2,63.0,302.4,70521.0,22762.21479,F,Suburban,26
577,Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1,77.0,221.226696,41273.0,3087.249746,M,Urban,19
2179,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,63.0,44.359382,65876.0,2468.443101,M,Rural,52
2219,Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,1,72.0,305.575785,33837.0,2764.032126,F,Urban,54
4933,Four-Door Car,Extended,Offer3,Retired,Married,College,1,77.0,369.6,17752.0,2831.587689,M,Suburban,87
1401,Four-Door Car,Basic,Offer1,Employed,Single,College,5,70.0,336.0,79027.0,5511.491102,F,Suburban,37
711,Two-Door Car,Basic,Offer2,Employed,Married,College,1,62.0,246.256648,47918.0,2476.480866,F,Urban,51
5571,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,71.0,339.399593,55478.0,8539.826923,F,Urban,1
2386,SUV,Basic,Offer2,Employed,Married,High School or Below,1,103.0,517.100887,27782.0,4027.703503,M,Suburban,54
5366,SUV,Basic,Offer3,Employed,Single,Bachelor,2,118.0,118.538444,68956.0,13432.00289,F,Rural,8
4220,Four-Door Car,Basic,Offer4,Employed,Married,Master,2,63.0,302.4,89586.0,7675.871354,F,Suburban,40
2026,SUV,Basic,Offer2,Employed,Married,High School or Below,8,110.0,528.0,99845.0,8819.018934,M,Suburban,25
2740,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,3,80.0,141.628547,90035.0,6438.97103,F,Rural,38
882,Four-Door Car,Premium,Offer4,Employed,Married,High School or Below,1,118.0,552.646907,72193.0,4755.762589,F,Urban,46
1512,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,1,94.0,24.04838,58300.0,3758.950734,F,Rural,55
2669,Four-Door Car,Basic,Offer3,Employed,Single,College,2,67.0,302.272725,28651.0,12817.41348,M,Urban,25
991,SUV,Basic,Offer3,Employed,Single,College,3,105.0,504.0,89834.0,8306.550901,M,Suburban,14
4777,SUV,Basic,Offer2,Employed,Married,Bachelor,8,112.0,206.911942,63909.0,8836.030712,M,Rural,50
3018,SUV,Basic,Offer1,Employed,Divorced,Bachelor,1,111.0,359.36848,88613.0,4439.900652,F,Urban,59
1215,SUV,Basic,Offer1,Employed,Married,Bachelor,3,110.0,787.88953,48893.0,8693.995589,M,Suburban,26
1702,Four-Door Car,Basic,Offer3,Employed,Married,College,1,65.0,150.235884,49308.0,2597.864075,F,Rural,97
47,Two-Door Car,Basic,Offer3,Employed,Married,College,1,63.0,302.4,46051.0,2489.337928,M,Suburban,34
4948,Two-Door Car,Extended,Offer2,Employed,Married,Doctor,2,94.0,33.747903,51840.0,34090.03598,F,Rural,75
455,Two-Door Car,Extended,Offer3,Employed,Single,Bachelor,7,96.0,450.596865,28848.0,7427.501786,M,Urban,54
5430,Sports Car,Extended,Offer1,Employed,Divorced,College,3,131.0,628.8,39719.0,10213.56338,F,Suburban,57
696,Four-Door Car,Basic,Offer3,Employed,Divorced,College,1,63.0,302.4,31056.0,2464.707849,F,Suburban,46
25,SUV,Extended,Offer3,Employed,Married,College,3,128.0,614.4,78358.0,10307.65258,F,Suburban,75
3994,Four-Door Car,Extended,Offer4,Employed,Married,Doctor,1,95.0,61.693771,62530.0,3824.431298,F,Rural,28
1690,SUV,Extended,Offer1,Medical Leave,Divorced,College,2,121.0,109.814874,10563.0,13523.12989,F,Rural,10
3710,Two-Door Car,Basic,Offer3,Employed,Single,Bachelor,3,62.0,49.011099,65795.0,4762.8179,M,Rural,85
1554,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3,63.0,302.4,24398.0,4880.94644,M,Suburban,79
1132,SUV,Extended,Offer1,Employed,Married,High School or Below,1,139.0,667.2,37995.0,5597.12496,F,Suburban,50
2320,SUV,Basic,Offer3,Employed,Divorced,Bachelor,2,118.0,1197.713861,36261.0,14057.42125,M,Suburban,78
956,Two-Door Car,Basic,Offer4,Employed,Single,Doctor,5,68.0,248.422693,20698.0,4744.967459,M,Urban,72
3009,Four-Door Car,Extended,Offer1,Employed,Married,Master,1,80.0,78.008093,40135.0,3208.919835,F,Rural,70
3686,Four-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,2,66.0,316.8,44856.0,10148.41973,F,Suburban,71
3223,Two-Door Car,Basic,Offer3,Employed,Married,College,1,61.0,292.8,54483.0,2411.256575,M,Suburban,57
1059,Four-Door Car,Premium,Offer1,Employed,Married,High School or Below,2,117.0,82.25632,41727.0,23055.57229,M,Rural,84
3971,Two-Door Car,Basic,Offer2,Employed,Married,Master,3,74.0,128.43823,47945.0,5960.581363,F,Rural,39
781,SUV,Basic,Offer4,Employed,Married,Bachelor,1,114.0,547.2,78152.0,4631.011293,M,Suburban,35
1911,Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,1,66.0,430.604489,28663.0,2618.326183,M,Suburban,34
1772,Four-Door Car,Extended,Offer2,Employed,Single,College,2,89.0,427.2,28754.0,10155.30044,M,Suburban,17
2952,Four-Door Car,Basic,Offer1,Employed,Married,College,1,68.0,446.751243,58828.0,2709.539796,F,Suburban,98
1893,SUV,Extended,Offer1,Retired,Divorced,Bachelor,5,125.0,600.0,16972.0,9029.71466,F,Suburban,89
241,SUV,Basic,Offer2,Employed,Single,Master,1,107.0,513.6,29462.0,4170.687348,F,Suburban,23
3273,Four-Door Car,Basic,Offer2,Employed,Married,College,1,63.0,302.4,54889.0,2539.990699,F,Suburban,94
556,Sports Car,Extended,Offer2,Employed,Single,Bachelor,8,137.0,657.6,21839.0,10302.90289,M,Suburban,70
4471,SUV,Basic,Offer3,Employed,Married,High School or Below,6,102.0,204.74051,73466.0,8161.576876,F,Rural,71
1489,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,2,68.0,64.646458,41701.0,8113.962284,F,Rural,74
1854,SUV,Basic,Offer2,Employed,Married,Bachelor,2,109.0,676.808053,43000.0,21886.19626,F,Suburban,9
1526,Two-Door Car,Extended,Offer2,Employed,Single,Bachelor,2,91.0,236.63519,36800.0,25401.51859,F,Urban,18
3711,Four-Door Car,Basic,Offer1,Medical Leave,Married,Doctor,3,66.0,214.866605,12608.0,4991.47197,M,Urban,72
3086,Sports Car,Extended,Offer2,Employed,Married,College,2,139.0,667.2,26030.0,16229.64891,M,Suburban,29
2858,Four-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,2,70.0,336.0,52339.0,7985.14214,F,Suburban,55
2525,Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,1,119.0,762.007253,49447.0,4739.34663,F,Suburban,48
2570,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,9,65.0,232.879766,41533.0,5176.730072,M,Urban,46
784,Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,1,62.0,297.6,88264.0,2504.907557,M,Suburban,34
521,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3,67.0,343.340361,53249.0,5416.413581,F,Suburban,10
1689,Four-Door Car,Basic,Offer3,Employed,Married,College,1,64.0,307.2,37072.0,2542.845763,F,Suburban,1
1698,Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,7,84.0,599.000883,56980.0,6689.022728,M,Suburban,70
4478,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,71.0,101.353875,36523.0,14010.52742,F,Rural,67
4072,Two-Door Car,Basic,Offer2,Employed,Married,College,1,74.0,57.678779,91646.0,2968.077571,M,Rural,10
3587,Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,2,102.0,421.111226,87502.0,20461.1545,M,Urban,28
2070,Four-Door Car,Basic,Offer4,Employed,Single,Bachelor,3,61.0,245.163042,82763.0,4794.96419,F,Urban,78
509,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,63.0,302.4,47285.0,2503.603127,F,Suburban,3
851,Four-Door Car,Premium,Offer1,Employed,Divorced,High School or Below,2,119.0,571.2,46587.0,41787.90343,F,Suburban,74
5390,SUV,Premium,Offer1,Employed,Married,Bachelor,4,155.0,388.148089,36328.0,12282.84085,F,Rural,21
3883,SUV,Extended,Offer1,Disabled,Married,College,1,127.0,1027.010512,19589.0,4987.643113,F,Suburban,44
2900,Four-Door Car,Extended,Offer1,Employed,Single,Master,2,82.0,277.871312,34919.0,9547.71004,M,Urban,99
2503,Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,1,62.0,264.461805,87492.0,2483.544888,M,Urban,69
5220,SUV,Extended,Offer1,Employed,Divorced,College,1,137.0,741.300032,44743.0,5112.306584,M,Suburban,55
842,Four-Door Car,Basic,Offer1,Employed,Married,College,3,69.0,345.158393,53997.0,5568.984683,M,Suburban,3
2576,Four-Door Car,Basic,Offer3,Employed,Married,Master,2,65.0,297.864823,26990.0,15445.66166,M,Urban,60
46,Four-Door Car,Extended,Offer2,Employed,Divorced,Bachelor,2,89.0,395.729716,33806.0,27789.69235,F,Urban,59
789,Four-Door Car,Basic,Offer3,Employed,Married,College,2,68.0,326.4,23706.0,7806.137458,M,Suburban,56
422,Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,6,107.0,438.069458,78077.0,8578.364528,F,Urban,47
1421,Four-Door Car,Basic,Offer4,Medical Leave,Married,Bachelor,1,74.0,355.2,13610.0,2827.43885,M,Suburban,64
1364,Two-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,2,63.0,275.516438,74069.0,7298.583562,M,Urban,81
3980,SUV,Basic,Offer1,Employed,Married,Doctor,2,105.0,504.0,40870.0,12731.95161,M,Suburban,56
146,Two-Door Car,Premium,Offer1,Employed,Married,Bachelor,1,105.0,588.265049,59038.0,4236.468669,F,Suburban,31
2291,Four-Door Car,Extended,Offer3,Employed,Divorced,High School or Below,4,86.0,455.714395,55366.0,6545.802896,M,Suburban,54
4693,Two-Door Car,Basic,Offer2,Employed,Single,Doctor,2,69.0,331.2,24814.0,8200.269735,M,Suburban,48
3525,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,2,61.0,16.214764,35230.0,9638.066778,M,Rural,2
1804,Two-Door Car,Basic,Offer2,Employed,Married,Doctor,2,62.0,432.480275,58883.0,15118.89548,M,Suburban,47
87,SUV,Basic,Offer2,Employed,Married,Bachelor,6,111.0,314.880326,67137.0,8176.576796,M,Urban,49
3907,Four-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,3,93.0,1101.05432,52920.0,7325.892726,M,Suburban,95
4994,Four-Door Car,Basic,Offer4,Employed,Single,College,2,61.0,292.8,99722.0,7320.98824,M,Suburban,48
997,Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,7,83.0,498.335261,82377.0,6627.148927,M,Suburban,19
1122,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,72.0,422.59237,73858.0,2810.671023,F,Suburban,59
4035,Two-Door Car,Premium,Offer2,Employed,Single,Bachelor,9,117.0,741.867506,55837.0,9264.565015,F,Suburban,35
1036,Two-Door Car,Premium,Offer1,Employed,Married,Doctor,1,116.0,741.418485,77678.0,4685.504251,M,Suburban,81
5136,Two-Door Car,Basic,Offer3,Employed,Married,Doctor,3,61.0,136.291083,70412.0,4930.949334,M,Rural,12
1481,Four-Door Car,Premium,Offer1,Employed,Married,High School or Below,2,103.0,384.01403,46396.0,12244.9049,F,Urban,79
1319,Two-Door Car,Extended,Offer4,Disabled,Married,High School or Below,1,86.0,412.8,12762.0,3323.856125,F,Suburban,14
224,Two-Door Car,Extended,Offer2,Employed,Married,College,5,76.0,206.709951,70892.0,6089.77238,M,Urban,32
2628,Four-Door Car,Extended,Offer2,Employed,Single,Doctor,3,78.0,223.950089,57760.0,6236.018595,M,Urban,67
2773,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,6,61.0,151.13336,55702.0,4961.405917,F,Rural,55
724,SUV,Premium,Offer1,Employed,Married,Bachelor,5,167.0,801.6,25048.0,13406.92021,F,Suburban,11
2143,Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1,68.0,245.893663,31911.0,2620.167098,M,Urban,65
3056,Two-Door Car,Extended,Offer3,Employed,Married,High School or Below,2,76.0,122.590766,54586.0,27528.31132,F,Rural,91
3161,SUV,Extended,Offer1,Disabled,Married,Doctor,9,122.0,683.45551,19429.0,9560.049227,F,Suburban,21
5380,Four-Door Car,Extended,Offer1,Employed,Divorced,College,2,91.0,436.8,68025.0,10892.90825,M,Suburban,17
1154,Two-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,3,62.0,83.390706,80355.0,4815.532839,M,Rural,33
2708,Luxury SUV,Basic,Offer1,Employed,Single,High School or Below,2,198.0,950.4,40740.0,55277.44589,F,Suburban,60
2290,Four-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,2,96.0,276.268778,68771.0,22800.53543,F,Urban,70
727,Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,2,104.0,115.126739,79421.0,12625.27947,F,Rural,85
4467,Four-Door Car,Basic,Offer2,Retired,Married,High School or Below,1,69.0,348.278032,21861.0,2633.011837,F,Suburban,11
3805,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1,99.0,363.613596,41185.0,3673.990748,M,Urban,6
1991,Four-Door Car,Basic,Offer4,Medical Leave,Married,High School or Below,1,61.0,439.2,25550.0,2372.289378,F,Suburban,13
3019,Four-Door Car,Basic,Offer4,Medical Leave,Married,Bachelor,1,74.0,355.2,15514.0,2789.74739,F,Suburban,24
4250,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,61.0,292.8,23845.0,2467.129805,F,Suburban,34
3042,Four-Door Car,Basic,Offer2,Employed,Divorced,College,1,68.0,244.564334,39035.0,2650.622781,F,Urban,65
4734,Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,2,68.0,384.210821,76081.0,8029.715047,F,Suburban,3
2731,SUV,Premium,Offer1,Employed,Married,High School or Below,1,171.0,1129.929433,43758.0,6803.596768,M,Suburban,29
5348,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,1,63.0,110.868874,69236.0,2487.777024,M,Rural,83
3927,Four-Door Car,Extended,Offer1,Employed,Single,Master,1,97.0,161.388136,96335.0,3887.324208,M,Rural,43
3417,Four-Door Car,Extended,Offer2,Medical Leave,Divorced,Bachelor,1,89.0,427.2,25236.0,3449.494119,F,Suburban,26
418,SUV,Basic,Offer1,Employed,Married,High School or Below,3,113.0,441.992043,91763.0,9161.655119,F,Urban,64
5185,Four-Door Car,Extended,Offer2,Employed,Married,Master,2,92.0,408.550442,66851.0,22056.00496,M,Urban,70
4189,Two-Door Car,Basic,Offer2,Employed,Divorced,High School or Below,9,73.0,35.915639,88359.0,5823.162917,F,Rural,49
240,SUV,Basic,Offer2,Employed,Married,College,1,111.0,313.270725,80640.0,4408.071476,M,Urban,84
4136,SUV,Basic,Offer2,Employed,Married,College,5,112.0,83.240006,67840.0,9012.922138,F,Rural,56
294,Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,3,71.0,15.169017,70190.0,5577.942343,M,Rural,22
1476,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2,61.0,292.8,33089.0,7356.383518,F,Suburban,61
1444,Four-Door Car,Extended,Offer1,Disabled,Divorced,High School or Below,2,86.0,412.8,20132.0,8763.449964,M,Suburban,61
4853,Four-Door Car,Extended,Offer2,Employed,Married,College,3,93.0,594.177664,47482.0,7281.715134,M,Suburban,45
2252,Sports Car,Basic,Offer1,Employed,Married,College,1,107.0,495.670802,61737.0,4296.604128,F,Urban,65
1214,SUV,Basic,Offer1,Employed,Single,Bachelor,2,104.0,499.2,44428.0,12036.62051,M,Suburban,61
635,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,73.0,350.4,65099.0,2853.370449,M,Suburban,19
4984,Four-Door Car,Basic,Offer3,Employed,Single,Bachelor,2,61.0,147.080303,75217.0,7173.909404,M,Rural,47
15,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,61.0,439.2,46210.0,2402.333284,M,Suburban,44
4094,Sports Car,Basic,Offer3,Employed,Divorced,Bachelor,1,112.0,241.304377,38925.0,4363.599418,M,Rural,48
779,Four-Door Car,Extended,Offer2,Disabled,Married,Bachelor,2,91.0,184.516188,26410.0,27564.73951,F,Rural,90
3742,Four-Door Car,Extended,Offer1,Employed,Married,College,3,99.0,291.890464,51001.0,7842.377593,F,Urban,49
195,Luxury Car,Basic,Offer1,Employed,Married,College,2,187.0,897.6,80355.0,22235.01011,M,Suburban,92
2765,SUV,Premium,Offer1,Employed,Married,Master,1,140.0,456.52385,50335.0,5619.068508,M,Urban,54
3217,Four-Door Car,Premium,Offer3,Employed,Married,Bachelor,7,115.0,221.047584,97729.0,9277.472901,M,Rural,48
2314,SUV,Basic,Offer1,Employed,Married,Bachelor,3,113.0,151.055863,38072.0,8704.278179,M,Rural,36
1913,Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,5,68.0,263.090605,41336.0,5350.214918,F,Urban,25
4372,Four-Door Car,Extended,Offer2,Medical Leave,Married,High School or Below,1,96.0,460.8,17162.0,3716.479655,F,Suburban,29
2869,Luxury SUV,Extended,Offer1,Employed,Divorced,Bachelor,1,215.0,1032.0,46503.0,8427.172486,F,Suburban,21
5537,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,9,74.0,487.930161,79140.0,5977.78537,F,Suburban,59
263,Four-Door Car,Basic,Offer1,Employed,Married,Master,4,63.0,205.043307,33566.0,5004.583872,F,Urban,56
2877,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,5,63.0,113.534474,36234.0,5041.29961,F,Rural,44
1211,SUV,Basic,Offer2,Employed,Married,College,6,116.0,232.945977,89513.0,9333.333631,F,Rural,12
4723,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,9,99.0,304.537298,30374.0,7861.798596,F,Urban,50
5423,SUV,Extended,Offer1,Employed,Married,Bachelor,1,136.0,652.8,57452.0,5414.897604,F,Suburban,10
5215,Two-Door Car,Extended,Offer2,Employed,Married,College,2,97.0,113.367765,36068.0,26843.12452,F,Rural,10
3740,Four-Door Car,Basic,Offer1,Employed,Married,College,2,72.0,79.463916,26023.0,8457.461231,F,Rural,33
5346,Two-Door Car,Extended,Offer2,Employed,Single,College,5,79.0,286.938064,49539.0,6031.518652,M,Urban,83
4528,SUV,Extended,Offer4,Employed,Married,College,7,130.0,443.786437,34948.0,10396.53186,F,Urban,15
838,SUV,Extended,Offer1,Employed,Divorced,Bachelor,1,127.0,609.6,52728.0,4863.470811,M,Suburban,34
1631,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,72.0,231.969205,46267.0,2895.522489,M,Urban,73
1259,Four-Door Car,Basic,Offer2,Employed,Married,Master,1,72.0,112.425578,33462.0,2874.08847,F,Rural,9
1608,Four-Door Car,Extended,Offer2,Employed,Single,High School or Below,2,78.0,374.4,24213.0,24709.59957,F,Suburban,28
2896,SUV,Extended,Offer4,Employed,Married,High School or Below,2,134.0,643.2,28311.0,41855.17315,M,Suburban,70
3793,Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,3,96.0,252.076899,48784.0,7715.103608,F,Urban,86
943,SUV,Basic,Offer2,Employed,Married,High School or Below,2,108.0,133.735395,64455.0,21639.83862,M,Rural,43
2438,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,72.0,202.24202,58092.0,14031.70314,M,Urban,56
5002,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,5,71.0,475.166267,26409.0,5686.743252,F,Suburban,70
1209,Four-Door Car,Extended,Offer2,Employed,Married,Master,8,91.0,436.8,65706.0,7380.976717,F,Suburban,86
4697,Two-Door Car,Basic,Offer2,Employed,Single,Master,1,68.0,343.889585,63684.0,2693.530229,F,Suburban,87
251,Luxury Car,Basic,Offer3,Employed,Single,Bachelor,1,187.0,896.436023,74335.0,7372.230729,F,Urban,4
1380,Four-Door Car,Extended,Offer1,Employed,Divorced,College,2,84.0,129.249842,57264.0,16477.47799,F,Rural,30
740,Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,2,115.0,256.43803,81872.0,14024.35839,F,Rural,55
3905,SUV,Basic,Offer1,Employed,Divorced,College,1,103.0,494.4,32210.0,4111.197013,F,Suburban,97
2104,Four-Door Car,Extended,Offer4,Employed,Married,College,1,92.0,383.110633,30244.0,3575.04124,M,Urban,72
3522,Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,1,98.0,470.4,42589.0,3848.483648,F,Suburban,73
4982,SUV,Extended,Offer1,Employed,Married,College,2,126.0,302.033971,58778.0,44795.46942,M,Rural,62
4634,Four-Door Car,Extended,Offer2,Medical Leave,Married,Bachelor,2,81.0,494.890996,16113.0,20885.55547,M,Suburban,19
2889,SUV,Basic,Offer1,Employed,Married,Bachelor,7,105.0,553.553427,33409.0,8370.56545,F,Suburban,17
2083,Two-Door Car,Basic,Offer2,Retired,Married,College,1,72.0,345.6,14030.0,2719.506996,F,Suburban,3
516,Four-Door Car,Extended,Offer1,Employed,Divorced,College,2,90.0,501.26513,86036.0,10719.08467,F,Suburban,20
